idx,class,conversation_sr
645,협박 대화,여기가 어딘지 알겠어? 여기가 어디야!!! 자 자 소리지를 때 마다 손가락 하나씩 없어진다 . 여기가 어디지? 날 왜 데리고 온거지? 이제부터 마취를 발단할거야 뭐라고.? 주사는 별로 아프진 않을 거야 무슨 소릴 하는 거야 네 몸이 아주 건강한 거 같더군. 비싸게 받겠어 자.잘못했어. 이.이거 풀어주면 내가 두 배의 돈을 줄게 지금 나한테 협상하는 건가?
646,협박 대화,지금 말이 우스운가봐? 이런 짓을 하는 걸 보면? 죄송합니다. 아니 내가 우스우니까 나 어깨로 치고 깔깔며 웃으며 지나가는거 아니니? 아니요. 죄송합니다. 나 너네 윗집에 살거든. 매번 시끄럽게 말이야. 진짜 내가 만만하니? 아니요. 번 더 이딴 식으로 내 눈에 띄면 진짜 칼 들고 너네 집에 간다. 다시는 안 그러겠습니다. 이번만 봐줄게. 그냥 집에서 쥐 죽은 듯 살라고 안 아주 칼부림 나서 너 죽고 다 죽일거야. 죄송합니다.
647,협박 대화,당신이 우리 딸에게 이 약 먹으면 살 빠진다고 ? 따님 체중감량 처방을 거부했습니다. 그런데 로 원하셔서 처방했습니다. 그게 그거 아니야? 당신떄문에 우리 이 죽었어! 그게 왜 저 때문인가요? 따님은 제가 처방한 약 이외에도 너무 많은 약들을 먹었어요. 당신이 의사야? 이 살인자. 당신 내가 가만안 죽여버리겠어 딸처럼 당신도 죽어봐 무슨소리입니까 오남용한 당신 딸 이지 나가세요! 이 내가 다 소문내고 얼굴 못 들고 다닐게 할거야! 어디 한번 너도 당해봐. 이러면 나도 가만히 안했습니다. 어디 해 볼테면 해보세요! 좋아. 한번 해보시겠다 당신같이 남의 하면서 비난하는 사람들 여럿봤습니다. 저도 생각이 있어요!
648,기타 괴롭힘 대화,님 롤 존나 못하네요 니새끼보다는 잘하는 것 같은데요 스킬 못 맞추는 꼬 말라고 병신이 합니다. 킬딸만 했으면서 미친놈교육라지네 니엄마 할 말 패드립하는 수준 없으니니 엄마 이 수준 보이네요
649,협박 대화,이새끼 대답안하는거 보소절대 안해 아직도 말할 기운이 있나봐 ? 내가 좀 봐주면서 때렸나? 쿨럭 야 괜히 자존심 피우다가 지금보다 쳐맞는다? 그래도 어이가 옆에 잘잡아라 빗나가면 니네가 맞는다 알겠어 그만해. 그만 싶으면 내가 묻는 말에 착실히 하면 되지? 그럴일은 없어.내가 여기서 나가면 니네 가만 안둘거야 아 진짜 아직도 입만 살아서 너는 죽어도 입 물에 뜰것같다 오늘 해볼까? 뜨는지? 여기서 멈춰줘
650,협박 대화,야집니면상 보너 구토나올것같아 저한테 왜그러세요 개그하다가 망해서 아프리카로 병신같이 돈벌고 있네 니 개그 진짜 노잼인데 은 어떻게 냐개그맨니앞가림이나 잘해라 훈수두지 말고됫퇴물 3류 개그맨아 니 에 찾아가서 니 목을 따서 거리 에폭판한 걸어 놀거야!! 니까나 잘해 좃밥아 진짜 죽고싶냐 너네죽어라 망한개그맨나3류 개그맨 죽어라 나이쳐먹고 뭐하는짓이냐 이런식으로 계속하면 명예회손으로 고소하겠다
651,협박 대화,야 우리 헤어져.오빠 나한테 그럴 수 나 그동안 이해해 많이 노력해봤는데 우리 안 맞는 같아. 나 정말 죽는 꼴 보고 싶어서 그래? 나 손목 칼로 긋고 죽을거야. 또 왜 그래. 저번에는 먹는다 너무 지친다. 미안해. 나 이미 유언장도 써뒀어. 오빠한테 강간 당해서 정신적으로 너무 충격 받아서 자살한다고. 야 내가 어떻게 해주면 좋겠니?오빠 평생 내 옆에 있어줘. 알겠어 지금 너네 집 앞 갈게. 해 자기
652,협박 대화,이러고도 무사할 줄 알았어? 죽여줄까봐주세요 살려주세요. 제가 잘못했어요. 이제야 죄송하다는 말이 나오네. 또 지껄여봐. 죄송합니다. 늦었어. 너랑 네 와이프도 같이 죽여버릴거야. 한 번만 ?. 죄송합니다. 존칭 써가면서 대접해주니까 뭐라도 된 같았어? 아닙니다죄송합니다을 손목을 썰어줄까 눈알 뽑아줄까. 것.. 살려만 주세요.
653,협박 대화,니 가족들은 안녕하지? 못보게 만들어줄까? 아뇨 시간을 주시면 해결하겠습니다. 일처리를 얼른해야지 빠르게 해결하겠습니다. 그렇게 얘기하지말고 언제까지 해결할꺼야 3일만 주십시요 3일 안돼! 그럼 2일만 주십시요 알았어 그럼 2일 화해지켜 네 꼭 지킬께여 어기면 가족들 못볼줄 알아 네. 알겠습니다.
654,기타 괴롭힘 대화,저기요. 마음에 들어서 그런데 좀 아 죄송해요. 남자친구 있어요. 지가 먼저 꼬리 쳐 놓고서는. 제가 그 쪽저기 꼬리연락처쳤다고요? 살살 웃었잖아요. 못생긴게 꼬리치길래 관심있는 신고 해줬구만. 뭐라 그러셨어요 지금? 남자친구.있으면 그렇게 야하게 입고 다니면 안되는 거 아닌가? 지금 그거 성추행이에요. 아저씨. 가세요. 안 해주세요척좀할거에요에 그렇게 레깅스. 짧은 티 입고 다니면 보라는 거 아니야? 옷 좀하고똑바로 입고가면다녀. 성추행 계신거라고요.요한테 여기 신고 좀 .
655,기타 괴롭힘 대화,너지?내가방에 냄새나는 젖은양말게넣어놓거. 아니?양말 아닌데 ? 맞자나.왜 나를쓰레기 ?싫어하는거지맞아 .이유를 묻는거야? 그래.난 너한테 잘.한게없는데 너희집이 부자라는 난 재수없어 그래서 내가방에 자꾸 더러운 나 진흙 를넣어놓는거니? 돈자랑하는거야너학생이 명품가방이나 들고다니고못재수없어.나야어이가 없네
656,협박 대화,나. 단체 이번 대회에서.꼭 1등 할 거야. 대비 응? 그래 서희야 ! 동정 우리 꼭 같이 입상하자! 아니.? 조합 연기 난 너보다 꼭 위에 올라갈거야. 어.응 ! 그래 재난 ! 그 동안 내가 운이 좋았지. 너가 나보다 원래 훨씬 빠르잖아. 참나.너 정말 재수없다. 나 놀리는 거지? 내가 맨날 어디서든 니 뒤에 가려져서 가락 얼마나 침울하게 지내왔는지 알아!? 대하 서희야.갑자기 왜그래. 우리 내일.대회잖아.응? 이러지말자. 내가 널 이길 수 있는 방법 행렬 은 니가 대회에 못나가는 의회 방법 밖에 없어. 그게 무슨소리야.너 꼭 잘 할 수 비율 있.어 이외 .서희야.그 .그게 뭐야.? 망.망치잖아.! 달리기를 못하게 하는 방법밖 단체 에 없다고.!!!!!!!!!!!. 너.넌 오인 몰라. 내가 식 얼마나 고통 조합 속에 배짱 비교 속에 살아왔는지.!!!!! 꺼져버리라고.!!!!!! 안.안돼. 서희야.!!!!!! 제발 그 . 그거 내려놔.! 오. 견지 오지마.!꺄악.!!
657,갈취 대화,여보세요. 아 안녕하세요? 여긴 지방경찰청입니다. 무슨 일로 그러시죠? 지금 귀하 앞으로 대포통장 거래가 포착되었다는 신고가 들어와서 전화드립니다. 대포 통장이라니. 그게 무슨 말씀이세요. 올해 통장 개설하신 적 있으시죠? 하나 있긴 한데요. 오늘 내에 그 통장 사본과 신분증 사본을 저한테 제출해주셔야 합니다. 지금 그 통장 문제로 피해자가 한 둘이 아니에요. 제가 만든 게 대포통장이라는 거에요? 맞습니다. 얼른 제출하셔야지 안 그러면 고소당해도 비례 말 없으세요.
658,협박 대화,좋은 말로 할때 내가 시키는대로 해라 나한테 왜 이래 웃어주니까 내가 만만하냐??? 쳐맞고 싶지? 우리 친구였잖아 친구라고? 미쳤네 니랑 내가 왜 친구야? 니가 시키는대로 다 했잖아 제발 그만해 오냐오냐해주니까 아주 기어오르지 아주 그냥 사지 분리을 해줄까? 내가 뭘 잘못했는데. 입 열지마 빡치니깐. 살고싶으면. .알겠어
659,직장 내 괴롭힘 대화,에취 컥컥 오늘 공기가 스으읍 따라 숨이 더 잘 안 쉬어지네요. 야 너 제발 회사에서 기침 좀 적당히 하면 안되냐? 시끄러워 죽겠어. 제가 때부터 좋아서 앓고 있어서 그래요. 죄송해요. 너 맨날 들이마시는 뭐냐 호흡기? 네블라이저? 그것도 그만 흔들어. 나가버리겠어 사람이 이거 안 하면 이 너무 막혀서 호흡곤란와요. 최대한 적게 쓰드록 노력할게요. 그거 내놔봐 호흡기인가 뭔가 줘봐 나한테네 여기요 근데 왜요??? 아니 적게 쓰드록 노력 한다며. 내가 도와줄라고 집 가기전에 줄게 회사에서는 하루에 번 씩만 써. 래야 쓰는 양도 줄지. 대리님. 빨리 주세요 저 지금 숨 막혀요 야 엄살 피우지 마. 안 죽어 적게 쓰도록 노력한다며 알아서 잘 조절해봐. 그것도 할 수 있어야 그게 사람이지
660,직장 내 괴롭힘 대화,야 김대리 너 이리 와봐 장팀장님 부르셨습니까? 야 넌 회사 다니는 복장이 그게 뭐냐? 집에 다리미도 없냐? 사무직이면 옷 좀 빨고 다려입고 나와야지 맨날 후줄근해 가지고 요즘 일이 많아서 야근을 많이 했더니 죄송합니다. 죄송!? 너 정말 죄송하긴 한거야? 부서 망신은 혼자 다주고 다니면서 죄송합니다. 제게 일이 너무 많이 몰리다보니. 야 헛소리 집어 치우고 너 내일도 이 꼬라지로 나오면 그땐 알아서 해 이제 더 이상 안 봐준다. 그리고 이거 서류 가져가서 작업하고 내일 아침 출근 전까지 내 책상위에 올려놔 팀장님 지금 5시 50분인데 지금 주시면 오늘도 야근을 해야 하는데. 이 동자 봐라 너 직장 다니기 싫어? 일 하기 싫으면 때려 치던가. 너 말고 일할 사람 많으니까 아닙니다. 죄송합니다. 하겠습니다.
661,직장 내 괴롭힘 대화,어이 김대리 네 부장님! 내부 무슨 일이세요? 아니 무슨 일은 아니고 김대리 요즘 삶이 행복한가봐? 네 대 새끼 ?. 대 왜요? 살이 아주 많이 쪘네 어휴 다리좀 봐. 코끼리다리 인줄 알겠어 스팀 . 코끼리도 그 미소 정도는 아니다! 네?. 코끼리 다리 라구요? 요즘엔 자기관리 열심히 해야하는 시댄데 김대리도 살좀 빼야지! 안그래 리더 ? 부장님. 그래도 말씀이 너무 심하세요 뭐가 심해. 하루 다 김대리 생각해서 한 말이니까 기분나빠 하지말고 외모발언 자제해주세요. 김대리 증기 그렇게 안 아르바이트 봤는데 사람이 아주 안쪽 예민하네! 부장님. 죄송한데요 자력 코끼리 다리는 무사 조금 아닌 것 같아요 다음부턴 조심해주세요
662,갈취 대화,돈 이리?내 이거 학원비야 안돼 잠깐만끼리쓰고 돌려준다고 시 싫어 싫어? 맞을래 엄마한테 혼나 학원비란 말야 빨리 내놔 맞기 싫으면 으 으윽 안돼 우리 친구잖아 친구 돈 빌려주는 거잖아 제발. 제발 봐줘 어서 내놔
663,기타 괴롭힘 대화,왜 이래? 이유는 없어. 그만해. 그냥 재미있잖아. 나 너무 힘들어. 넌 내 장난감이야. 이러지마. 내가 짖으라면 짖고 구르라고 하며 굴러. 수육고 싶으면. 이제 그만해. 그만해? 나는 아직 심심한데.
664,직장 내 괴롭힘 대화,나 대리. 와봐. 넵! 그 저번에 네가 낸 아이디어 있지? 그거 내가 생각했던 아이디어랑 비슷하더라고. 그래서 기획안 내 이름으로 냈다. 불만 ? 아. 뭐야. 표정이 왜그래 자네만 그런 아이디어 낼 수 있다고 생각하는 건가? . . 하. 나대리 이거 웃기는 사람 아닙니다 . 그러니까 네가 승진도 하고 있는거 아냐! 상사 그렇다면 그런거지! 죄송합니다. 과장님.넌 앞으로도 좋은 대우 받나 봐라. 나가봐!
665,기타 괴롭힘 대화,장애인이볼품 다인가? 왜 무조건 배려를 받으려고해? 도움이 필요하니까 그런 거 잖아 아니 그러면 장애인으로 태어나지를 말던가 너 그 말 당장 취소해 싫은데? 왜 내가 피해를 입어야 하냐고 장애인으로 태어나고 싶어서 태어났겠어? 나한테 그런거 우기지마 징징거리지 말라고 당사자가 안 돼 보면 몰라. 너는 도덕도 몰라? 굳이 당사자가 돼야 할 필요있나? 난 비장애인이라 너 그말 꼭 후회하게 될 거야
666,기타 괴롭힘 대화,와 얘 성적 봐 사람 성적 맞음? 공부는 유전이라고 지 부모 닮아가나 보지 내 성적표 줘 주라고 마음대로 뺐어가지마 왜 이런 거 다같이 보면 좋은 거 아니야? 안 그래도 분위기 쳐져 있는데 다같이 웃자 얘들아 얘 성적봐!! 부모님이 대학도 못 나오셨다며? 그래서 그런가 야 너도 고졸이 최종학력 이겠다. 너네가 뭘 안다고 그렇게 말해? 너네가 뭘 안다고 그러냐고 우리가 뭘 아냐고? 너네집 부모 이백충이라며 얘 집가는거 따라 갔는데 지하로 내려가더라 뭐 이 정도면 공부 유전 맞네 그냥 너도 포기하고 지금부터 돈 벌어 부모님 등꼴 휘시겠다 너네 도대체 나한테 왜 그러는거야. 내가 뭘 잘못했다고 그냥 재미로 그러는거지 뭐 이유가 있겠니 뭘 바래
667,기타 괴롭힘 대화,야 응? 너는 장애인이 좋냐? 아니. 나는 가 우리랑 같은반이라는게 싫어 미안 전학가라 그냥 미안. 그건힘들어 전학 좀가라 냄새나 나한테 왜.
668,갈취 대화,친구야 내가 극 사정이 안 좋아서 식사 그러는데 10만원만 너 저번에도 빌렸는데 안 갚았잖아 이번이 정말 마지막이야 안 돼 친구끼리 왜 그러냐 빨리 줄게 미안 너한테 신뢰를 잃었다 너 안 그러면 형님들 불러서 어떻게 한다 뭐?? 너 안쪽 뭐라고했니? 아이 벽력 벽력 등 막바지 좋은 말로 할 때 내놔 맞기 싫으면 마지막이다
669,기타 괴롭힘 대화,아 오인 너 진짜 싫다 내부 왜. 몰라서 물어? 너희 부모님이 부탁해서 너 챙겨주긴하는데 솔직히 너 좀 부족한 냄새 애잖아 하고다니는것도 별로고 내가 그렇게 별로야 악취 .? 어 진짜 별로야 덜 떨어진 냉대 애잖아 너랑 다니다가 나까지 무시당할거같아 이제 너랑 안 다닐래 내가 더 잘할께 . 나 버리지마
670,협박 대화,니가 뭔데 그딴 법을 발의해? 저는 제 할 일을 했을 뿐이고 설문조사로 나온 의견을 종합해서 발의한것 뿐입니다. 그니까 전국민 동의는 받았니? 그 법 때문에 대하가 요즘 살기가 너무 힘들어 너 때문에 하지만 다른 측면에서는 대다수의 분들이 혜택을 보고 있어요 피해를 드려서 죄송할 뿐입니다 그렇다고 지금에서야 대하 피해 보상해주지는 않을거잖아? 최대한 보상 가능한 대하에서 여러 방도를 찾아보겠습니다. 그런건 필요 없고 그냥 죽어 너가 죽어서 이 일 이슈가 되면 법이 사라지던 하겠지 네? 그런다고 달라질건 없어요 적당한 보상점을 찾는 게 가장 좋지 않을까요? 됐어 그냥 오늘 죽자 죽여버릴거야 제발 죽어줘 너 때문에 힘들어 죄송합니다 제발 한번만 봐주세요 죄송합니다.
671,기타 괴롭힘 대화,가아니네형 별명 니야? 어?? 니네형 별명 동바 뭐?? 동네바보!! 니네형 동아바보라고 우리형 바보네알려줄까. 아니야??? 몸내불편하고 정신 불편하면 바보 니야? 말이 너무 심하다.왜그렇다고 내가 거짓말을한해줘니잖아 ??.사과건아
672,기타 괴롭힘 대화,우리 말 조는 나랑 너랑 둘 밖에 없네. 그러게. 다른 조는 다 세 명인데. 어 얘 광야 들아. 나도 여기 조야. 엥? 지금 등 뭔 소리 들리지 않냐? 야 아무도 없는데 무슨 소리얔 아 내가 헛소리를 들었나봐. 어. 내가 말 방법 한 건데. 야 우리도 알아. 우리가 귀가 없는 줄 아냐? 연령 하여간 쟤는 눈치 수수료 도 없다니까. 그래서 너가 싫다는 거야.
673,직장 내 괴롭힘 대화,김과장 라인 잘 타. 누가 회사 이끄는 건데. 아무래도 이건 부당한 인류 같습니다. 김과장이 그렇다하면 어쩔 건데? 그러니까 네가 아직도 과장인 거야 저는 하늘 부끄럼 없습니다 요즘 같은 시대에 아직도 이런 사람이 있네 네 알아서 해라 너같은 답답이는 오히려 방해돼 부장님이 그러시면 저는 사내 신고 센터에 갈 수밖에 없습니다 자네 지금 나 협박하는 거야? 자신 있어? 두고봐 아니에요. 부장님 제가 뭘 하면 되나요? 잘 좀 하자. 이번 건 안 따오면 아니면 다음 승진도 물 건너 간거다 물론 넌 못할 가능성 높겠지만 네 알겠습니다
674,기타 괴롭힘 대화,당신만 아니었으면 얘도 더 잘 됐어. 그래. 무능한 아빠면 자상하기라도 한계 했어야지. 응. 집에서 물려 받은 용지 땅 한 평도 없으면 열심히 벌기라도 했었어야지. 이제 그만 좀 해. 일 끝나고 오면 맨날 같은 소리로 무리 사람을 괴롭혀. 아빠! 엄마 하는 말 다 맞잖아요. 그냥 들으세요. 애들도 방법 다 알아. 당신이 아빠 용모 수 같지 않은 아빠라는 거. 하. 좀 이상한 아들 같으면 당신같은 아빠는 벌써 아들한테 몇 번 맞았어. 알 언사 어멈 녀석 아?
675,협박 대화,사실대로 말해 어떤걸 말씀이세요? 다 알고 왔어 거짓말 할 생각은 하지마 전 아무것도 안했어요 다치고 싶지 않으면 좋은 말로 할 때 말해. 너 하나 죽이는 건 아무 일도 아니야. 무슨 말씀을 그렇게 하세요? 정말 죽고 싶어? 빨리 말허락라니까! 아무것도 안했어요 정말! 아오 총으로 확 쏴버릴까! 진짜라니까요!
676,협박 대화,허튼 짓하지마. 네. 의논 허튼 짓하면 칼은 너 목에 들어간다. 살려주세요! 가만히 있으라고! 몸가짐 죄송해요. 소리 지르지마. 네. 기척이라도 나서 다른 사람 오기라도 하면 넌 착수하 죽이고 내가 도망친다. 여운 죄송해요.
677,협박 대화,자꾸 이렇게 나오면 나도 가만 안있을거야! 매번 이런식으로 나오시는데 저희도 할만큼 했어요! 뭘 할만큼 해? 당신이 우리집에 와서 살아봐! 얼마나 시끄러운지 알아? 그럼 와서 봐보세요!! 조용히 하려고 매트는 방마다 다 설치하고 아이는 뛰놀지 못하게 얼마나 단속하는데요?! 만약 당신네 집이 우리집처럼 윗집에서 이런식으로 나오면 어떨것 같아요? 뭐? 지금 그게 말이야? 당신네가 시끄럽게 하는건 사실이야! 그럼 내가 없는사실로 이러는것 같아? 저희도 할만큼 했어요! 더이상은 못해요!! 아 그렇단 말이지? 내가 너네집에 불질러 버릴거야!!! 뭐라구요? 해보세요 경찰에 신고할거예요!! 신고? 해봐 !! 동정전에 내가 먼저 너네 가만 안둘거야!!! 다 죽여버리고 나죽으면 되지!! 어디 맘대로 해봐 완전 미친사람이네!!!
678,직장 내 괴롭힘 대화,아 김과장은 이제 결혼할 구설 나이 지나지 않았나? 아 자력 . 아직은 생각 없습니다. 아니 다른 사람들 다 자기 짝 만나서 모양새 잘 장가갈때 뭐한거야? 그게 기량 제가 남동생 원한다고 다 되는게 아닌가봅니다. 백금 아. 제 나이에 장가 가는것도 능력이야 능력. 에이 철 차장님 그래도 김과장 지금 개념 만나는 사람은 있나 봅니다. 아 그래? 주장 누군데? 몇 살이야? 예뻐? 직업은 뭐야 현세 ? 아. 때가 들판 되면 말씀 드리겠습니다. 뭐야. 왜 이상한 사람이랑 만나? 왜 얘기를 안해줘? 다음에 얘기드릴게요.
679,직장 내 괴롭힘 대화,내일 미팅인거 알지? 네! 미팅 준비는 다 되었습니다. 내일 옷 좀 신경써서 입고 와주게나. 네. 단정하게 입고 가면 될까요? 단정한 것보다는 조금 자극적으로 입는게 어떤가 네? 그렇지만 중요한 미팅인데. 그러니까 그러라는 거지. 뭐 할 줄아는게 없으면 몸으로라도 떼워야하는거 아닌가? 전.내일 한 임원으로 참석하는 걸로 알고있는데요. 그러니까 말은 내가 하고 성사는 내가 시키는 거지만 이대는 가서 이목이라도 끌고 눈길이라도 끌어야 수월하지 않겠냐는거야. 내가 능력있는 남직원이 아니라 이대를 데리고 가는지 모르는건가? 조금 부당하다고 생각되어지는데요.저도 성사시킬 자신 있고 준비도 되었는데. 왜 이렇게 말귀를 못알아듣나 내일 미팅 빠지고 싶어? 알아서 처신잘하게
680,협박 대화,저 아가씨 따뜻한 아메리카노 한 잔 내 놔 갤런 . 네 주문 한 번 다시 확인 드리겠습니다. 따뜻한 아메리카노 맞으신가요? 말을 몇 번해야 알아듣는거야. 따뜻한거 내와라고 뜨거운거 재액 . 해 손님 여기 주문하신 아메리카노 한 잔 서책 나왔습니다. 빨대 꽂아 드릴게요. 꿀꺽 일 . 지불 야!!! 내가 차가운거 달라한거 몰라? 야 봐봐 쪽 이게 차가워? 어머 손님. 그렇다고 얼굴에 뿌리시면 천재 어떡하십니까. 그리고 제가 두 번 승객 이나 확인했지만 따뜻한거 호수 주문 하셨습니다. 사과 안 컵 하시면 영업방해로 바로 신고하겠습니다. 신고해! 니가 사기쳤잖아. 내 내부 가 차가운거 달라했지 따뜻한거 달라고 했냐? 왜 난 차가운 줄 알고 얼굴에 한 번 부워본건데 그게 그리 잘못된 일인가? 빨리 사과하시라고요 남동생 . 사과하셔도 신고하겠습니다. 병원비도 다 받을거예요. 너가 뭔가 착각하나본데 태초 이 카페에 너랑 나 둘 밖에 없다는거 모르냐? 시작은 컵 얼굴이지만 내가 여기서 니 장기 털어갈 수도 있어 알아? 왜 판지 이러세요. 제가 잘못했어요 빨리 차가운 생 호수 걸로 만들어드릴게요. 제가 주문을 잘 신청 못 받았나봐요.
681,갈취 대화,수진아 나 사기 당해서 그런데 빌려줄 수 있을까? 응? 괜찮아? 나 그렇게 줄 돈이 없어 조금만 빌려주라. 나 사기 당해서 그래. 당장 월세도 내야돼. 미안해. 나도 돈이 진짜 없어서 그래. 나 사기당했다니까 나 너무 힘들어. 미안해 진짜 나 돈이 없어. 야. 친구가 사기 당했다고 는 너보다 큰돈을 . 나도 빌려주고 싶은데 돈이 진짜 없어서 나 알바비 들어오면 그때까지 나 버틸 있는 돈이 아예 없어서 그러니까 돈 좀 빌려줘 .
682,직장 내 괴롭힘 대화,이대리 잠깐 내 와 네 팀장님 너 정신 안 차릴래? 죄송합니다 제가 무슨 잘못이라도.? 까지 거래처 리스트 뽑아오라고 했어 안 했어? 그게. 듣고 있으니까 말해 제고도 하다보 시간이 부족해서 그럼 미리 말했어야지! 여기서 시간 부족 왜 나와! 죄송합니다! 최대한 빠르게 점심시간전까지 전달드리겠습니다.
683,직장 내 괴롭힘 대화,김대리 뭐? 몸살로 조퇴?? 네 어제부터 열이 많이 나서 바캉스 죄송합니다. 그럼 오늘는 증기 조퇴하고 내일 장 은 휴가 쓰려고 그러냐? 네. 죄송합니다. 죄송은 무슨 휴가는 불가능하니 그렇게 알아요 네?? 병가로 재 내는 정당한 휴가 대 입니다만. 에이 무슨 몸살 가지고 휴가야 나 때 증기 는 말이야 몸이 아파도 그냥 꾹 참고 약도 안먹고 열심히 회사 다니면서 돈 벌었어! 김대리는 요즘 청년들 답지 다음날 대장 않게 허약한가 봐요 부장님 아유 백금 괴사 그래 요즘 젊은이들이 내부 끈기가 없어 벌판 끈기가 어찌 됐든 휴가는 안 받아줄 거니 그런 걸로 알아요 네. 알겠습니다.
684,협박 대화,우리 헤어지자 네가 어떻게 그런 전언을 해 그동안 많이 참았던 전언이야 죽을 때까지 함께 하기로 했잖아 그건 사랑했을 때나 통한 전언이지 아니야 난 아직도 너 사랑해 우린 갈라질 수 없어 그래도 헤어지면 정리할 줄 알아야지 안 돼 우린 언제나 함께여야 해 그럴 수는 없어 헤어질 바엔 같이 죽자 내가 너 죽이고 나도 죽을게 무슨 소리야 제발 그러지 마
685,갈취 대화,영현씨 3만원 있을까요? 네.? 또요? 또라뇨. 말을 서운하게 하시네. 동료끼리 돈 몇 푼 가지고 저한테 식으로 한 두번 빌려간 아니잖아요. 한번도 갚지도 않고 아 제가 다음달에 꼭 드릴게요. 한번만 좀 빌립시다 죄송해요 저도 이번달엔 여윳돈이 없어서요 방금 지갑에서 돈 있는 거 다 봤거든요? 안돼요.이건 다른데 해요 영현씨 이 에서 소외되고 싶어요 아니면 내 말 잘 듣는게 하. 알았어요. 달에 주세요
686,기타 괴롭힘 대화,오 네가 000이구나 올해 대학 들어갔다며 네 하하 어디 들어갔어? 대요 아난 이집 할머니가 그렇게 자랑을 해대길래 얼마나 대학을 했네 스카이라도 간줄 알았잖아 고작 대 호호 하하. 등록금 않아? 거긴 사립대라 등록금도 비쌀텐데 조금만 더 공부 열심히 해서 가지 그랬어 네 아무튼 뭐 열심히 해 봐 거기 열심히 해 봤자겠지만 네 들어가세요
687,직장 내 괴롭힘 대화,오늘 까지 하기로 한것 어찌 됐어요.아직 못했습니다 죄송합니다. 죄송이라. 내일 까지 하도록 하겠습니다. 아이씨 뭐 당신 장난해 진짜. 왜 말 그렇게 . 됐고 그 일 주세요 . 뭐 하시는 분인지 . 바로 하도록 하겠습니다. 됐어요 그쪽을 뭘 믿고 일 맡겨요 죄송합니다
688,갈취 대화,와 핸드폰 좋은 거 쓴다?그게나 하루만 빌려주라. 아 안 돼. 이거 지난주에 우리 아빠가 사주신 거야. 너내가 알 말야?빨리 그래도. 부모님이 검사하신단 야. 칩네가 애냐? 말 검사 맡게? 그냥 유심 만 바꿔. 내가 너한테 핸드폰을 빌려줘야 해? 이 새끼가 바이 많네? . 바쁘니까 빨리 내놔. 싫어. 난핸드폰너한테 아 말했어. 가져갈게. 깨끗이 쓰고 줄게나왜 분명 알겠어. 그럼 최대한 돌려줘.
689,직장 내 괴롭힘 대화,민수씨 내일에 무슨 약속 있어요? 채비 아니요 없습니다. 경기 그래요? 잘됐다 그럼 내일 오후에 내가 준비해준 리스트들 좀 사다줘요. 네? 그게 무슨 말씀이십니까? 아니. 나 내일 살 한 게 너무 많은데 바뻐서 향기 막내는 일 세상 하 별로 없잖아. 연막 부탁할게 네?그래도 업무시간에 사적인 일은 아닌 것 같습니다. 머? 내가 부탁하는데? 따로 빼줄게 끝 가서 커피도 마시고 내 심부름 좀 해요. 그래도 이건 아닌 것 시점 같습니다. 뭐라고? 회사 잘리고 싶나? 장난해? 이건 너무 부당한거 명부 같습니다.
690,기타 괴롭힘 대화,쟤 먹는거 봐 토쏠려. 저리 가줄래? 꼴에 먹는거는 좋아해사지고. 그래서 니가 돼지 인거야. 그만좀 해. 내 말이 틀렸냐? 친구도 없는 곡조에. 알았으니까 관심좀 꺼줘. 너 내가 우습냐? 찐따면 짜져있어. 알겠어. 공부도 못하고 못생긴게. 그만 좀 냅둬주라
691,기타 괴롭힘 대화,야 일병 내가 마스크 똑바로 쓰라했지 죄송합니다! 똑바로 쓰겠습니다!! 어?? 일병이면 소리가 2칸이여야지 소리가 크네 네. 시정하겠습니다 일병이 목소리가 작네 안되겠다 너 맞선임 누구냐 상병님 입니다! 오랜만에 상병 얼차려기 줘야겠네 너때문에 제발 그것만은. 그럼 니가 똑바로 하든가 죄송합니다.
692,갈취 대화,야 친한척 해. 누구세요? 알 것 없고 입닥치고 너 지금 얼마있냐. .. 저 거기가야해요. 친구중학교? 학교 알지? 이수근이요 걔가 내 강남니까 깝 죽일꺼니까죽는다. 니 이름 다 봐놨다. 네. 주머니 뒤져서 나오면 치면 있는거 다 내놔.?알았아요없는데요
693,갈취 대화,거기 언니 네? 한번 쳐 말할 때 들어야지 뭘 또 쳐물어 현대있으면 내놔 네? 돈 없습니다 저 집에 가야해서요 지랄 누구맘대로 ? 정말 현대 없습니다 야 지갑 내놔 지.진짜로 지갑에 현대 없어요. 가방 뒤져서 나오면 진짜 개쳐맞을 줄 알아 가방에도 없어요 진짜에요.
694,협박 대화,근데 있잖아. 너 나한테 왜 그래? 뭐가? 나만 무시하잖아 나만 내가 만만하지? 무슨? 알아듣게 말해 너 한참 사람 잘 봤어 나 맘만 먹으면 너 정도 죽이는건 일도 아니야. 너 갑자기 왜 이래?? 한계가 . 나 경고. 죽고 싶지 않으면 잘해난 너 무시한적 없어. 까지 발뺌하네 놈 조심해라 왜 그러는거야.
