idx,class,conversation_ri
1114,갈취 대화,100만 원만 내시죠. 내가 왜 100만 을 내야돼? 아 그럼 공짜로 말이야? 공짜는 왜 공짜. 나도 할만큼했다고. 하 이 사람이 무서운 없군. 잘못한 게 없는데 뭐가 무서워 아직 매운 맛을 못 봤군 할 때 100만 원 만 내. 100만원은 10만 원도 없어. 좋아 그럼 라도 넘기지. 운전으로 먹고 사는데 차를 넘기면 난 굶어주으란 말이야?. 그건 내가 알바 없으면 차라도 넘겨.
1115,기타 괴롭힘 대화,여기 누구 승객 있나요 내부 와보세요 손님 무슨일이시죠? 승객 현생 여기 고기가 탓자나요 뭐에요 아 이건 자연스러운 시점 그을림 입니다 살붙이 됬고 탔으니까 환불 하세여 고객 손님 이미 다 식육 드셨는데 어떻게 가운데 . 수육 안쪽 아니 다 필요없고 환불해달라고요!! 안하면 내부 고소합니다 살 손님 이러시면 곤란합니다 환불 최근 금일 지금 당장 하세요
1116,기타 괴롭힘 대화,넌 남자 잘 만나고 다닌다? 뭐 내가 이쁜가 보지 음 그건 아닌고 같고 너 보고 만나는거아냐 ? 뭐? 노출도 심하고 그냥 나 먹어주세요 이러고 다니는거같아서너 무슨말을 그렇게해? 아니야 ? 너 남자 밝히고 이 남자 저 남자들한테 꼬리잘치고 다니잖아 지금 말 다했어? 아니면 말고 남자에 미친애인줄알았지 너 .!!
1117,갈취 대화,야 생 니 성형수술 하기 전 사진 가지고 있다 야 나도 보여줘 봐 뭐야! 완전 괴물이 따로 없네 얘 남자친구가 보면 바로 손절인데 지워줘 내 허락도 없이 사진 찍고 그걸 왜 지금까지 남겨 둔건데 그거야 이럴 때 써먹으려고 그랬지 왜 지워줘야 하는데 딱 남자친구 주면 재밌겠구만 지금 그냥 보내 반응 궁금하다 다른 사람이라고 생각하는 거 아니야? 제발 그냥 다 미안해 내가 원하는 거 다 들어줄게 그래 이렇게 나와야지 야 우리 300만원만 빌려줘 300은 너무 당황스러운데. 갑자기 그렇게 큰 돈이 어디서 생. 그럼 뭐 돈을 포기하시고 웃음을 선택하던가 아.아니야 300만원이면 지금 당장 삭제해 주는 거지? 꼭 삭제해줘
1118,갈취 대화,어이 너 입고 있는 코트 멋있다 저요? 그래. 너 말고 여기 또 누구 있나 코트 이거 아빠가 사실 준거에요. 안 돼요 그러면 바지라도 벗어 주고 가던지 싫어요 그럼 딱 10대만 맞자. 그러면 가도 돼 신고할거에요 법보다 주먹이 가깝지 여기 좀 도와주세요!
1119,협박 대화,못본사이 더 예뻐졌다살았다고어디가냐? 아니.너 가. 갑자기 왜 나타났어? 그냥 데리러 안돼 데려가지마. 그때 나 죽고싶을이번정도로 힘들었어 매일 같이 맞고 이번에는 죽은 정도는알바아닐거야 가자 싫어 제발. 가서 머가려고 에는 진짜로 죽는거야. 아니야 그러지마. 나할건데진짜 두 번다시 거기 가고싶지 않어. 내.장기도 줬잖아. 장기가 더 필요해졌어. 그러니까 온거지 나도 사람답게 살고 싶어. 그러지마.
1120,갈취 대화,거기 그래 방금 나랑 눈마주친 새끼 저 저 말입 그래 너 지갑 내놔봐. 지갑을 왜.? 내놓으라면 내놓을 것이지 말이 많아. 저. 여기. 야 하 생각보다 능력 좀 있다? 십만원만 빌려간다. 아 아니. 아유 고맙다 고마워 새끼야 새끼 십만원가지고 쪼잔하게. 담에 만나면 돌려줄게 네 돌려주십시오. 제 십만원.
1121,갈취 대화,안녕 핏덩어리야 몇살이야 안녕하세요 6살이요 손에 든건뭐야? 돈이에요 엄마가 애호박 하나 사오래요 그래? 오늘 반찬만드실때 필요한가보네 그런가봐요. 근데 어쩌지 형이 아이스크림 사먹고 싶은데 돈이 없어 네?? 애호박 사먹고도 돈이 남을거 같은데 형도 아이스크림 하나사주라 제가요?? 응 착한 어린이는 불쌍한 사람도와줘야 한다고 배웠지? 얼른 사러가자 엄마가 돈 남겨오라했는데. 아가야 엄마말만 듣다가 형아한테 혼나기 전에 가자 네
1122,직장 내 괴롭힘 대화,어이 미스김 네 팀장님 무슨일이시죠? 커피 좀 진하게 타와 네 여기 대령했습니다. 대령? 너 지금 나 비꼬냐? 그런 거 아닙니다. 맛있게 드십시오 넌 늘 말 꼬라지가 맘에 안들어. 대가리 총맞았냐? 죄송합니다 죄송할 일을 왜해? 도 못생겨서는 당장 꺼져! 네. 그럼 고생하십시오.
1123,협박 대화,나에 대해 어떻게 그런 을 할 수 있지 사실인데 뭘 장난해 없는데서 있지도 않은일을 카톡으로 뒷담화가 맞아 아니면 말고 나도 똑같이 고통 해주지.아주 을 찢어버릴테다. 하냐 너도 입으로 고통줬으니 당해봐라 너 고소할거야 가 멀쩡한지 보자 캡쳐했다
1124,기타 괴롭힘 대화,야 어? 이 개새끼야 왜이래? 놈아 왜 그러는데? 너 보면 빡쳐 내가 뭘? 몰라 이유없어 놈아 너무하네.
1125,협박 대화,?가 오랫동안허생각했는데 우리 안맞는 거 . 뭐? 갑자기 왜내 무슨 일이 ? 나랑 좀 하자. 아니야. 항상 내야의견은 무시하고 네 말대로만 맞다고 하는 대화가 무슨 대화니. 이젠 지쳤어. 반복되는 패턴도 지겨워. 그냥 ?. 뭐? 혹시 다른 남자여자 생긴 거 아냐? 누구야헤어지자 언제 눈 맞았어? 다른 사람은 없어. 그냥 내가 지쳤다니까? 솔직히 말해봐? 다른 사람 생긴거지? . 항상 이렇자나? 만나는지도같아내 말 안 듣고 있자나. 조심해라. 내가 너 따라다니면서 어떤 놈년나지금 확인되면 걔 확 염산 끼얹어 버린다?! 너 진짜대화무섭구나. 넌 정말 항상 마이 웨이야. 밤길 조심해. 너 그 놈년이나. 인생 끝장날 각오하라고.
1126,협박 대화,도대체 몇 번째야 죄송합니다내가 아가리 함부로 놀리면 부셔버린다 했어 안했어? 했습니다 저번에 이빨 하나 가지고는 부족했나봐? 아닙니다 그 짓거릴 한거냐? 죄송합니다 됐고 망치 가져와 아가리 못 부셔벌릴거니까 형님 제발 한번 봐주세요. 다신 일 겁니다.
1127,갈취 대화,당신 지금 이기심 돈 얼마 적 있어? 저 재 돈 없는데요. 거짓말하지 마! 지금 황금 가치 빨리 지갑 피리 노년 열어봐. 저 매가 진짜 돈 없어요. 요즈음 나 지금 잃을 것 산악 없어. 돈만 주면 동정 기적 나 갈테니까 얼른 있는 돈 다 줘봐. 여기요. 봐요 아무것 소장 도 없잖아요. 사 진짜 그렇네. 시계 기적 나 그런 금속품도 없어? 시계는 남자 요즈음 재 이거인데. 동네 소유물 골동품 가게에서 절 산 황금 건데 30000원 오인 이에요. 탄탄 연령 그거라도 줘봐. 내가 측 금전 팔아야지. 네 알겠어요.
1128,기타 괴롭힘 대화,이거 니가 계산해! ? 알았어적립은 로 해주세요 ! 야 내 계산하는데 왜 니꺼로 적립해? 왜 내 맘이지? 아 진짜 한거아니니?너 식충이야? 매일 얻어먹었잖아 돈없냐? 내가 얻어먹었어 사주기만 했지 야 이제 눈치껏 너 계산 좀 너가 그러니까 친구가 다 떠나는거야작작 좀 해라
1129,협박 대화,야 너 천성 여자친구 법무부 가 이근처 인류 산다고했지 센스 ? 네 맞습니다 잡 여자친구는 보러가면서 여기 백금 나올 시간은 없냐? 죄송합니다. 연간 이거 정신 못차렸네 야 너랑 너 여자친구랑 같이 창자를 확 담궈버릴까 백금 ? 정말 백금 죄송합니다. 다 죽여버리는 수가 있어. 연기 나 열받으면 아무것도 눈에 안뵈는 사람 대열 이야. 고도 정신차리겠습니다. 천수 말로 오 만 하는거 같지? 진짜 나 허벅지 는 실행으로 옮길 변두리 수 괴로움 있는 사람이야. 혈족 잘해. 생 한계 네 실시 단행 백금 알겠습니다. 죄송합니다.
1130,갈취 대화,친구야 안녕 네.? 누구 내가 오늘 남자친구랑 22라 돈 좀 저 아니 뒤져서 나오면 어떻게 할래 저 정말 없어요뒤져서 나오면 다 내꺼다 안돼요 뭐 안돼!!! 내놔 안돼요 주세요
1131,협박 대화,돈 언제 무슨? 곧 갚겠습니다. 장기아이씨 말만 몇번째야?!?!그 죄송합니다.그치만 지금 당장은. 야 시끄럽고 돈 없으면 하나 팔아 네??갚을거야 말씀이세요. 돈 없으면나장기하 팔라고! 너가 빌린돈 갚으러면 신장? 떼면 되겠다 갚겠습니다 다 떼면 죽는거 아닌가요둘다 내 알바야? 꼬우면 갚던가 곧 그거.살려주세요 형님한테 전화한다
1132,기타 괴롭힘 대화,야 니동생 바보라며 내동생 바보아니야 뭐가 아니래 들이 니동생 지체장애래 그냥 조금 불편하고 다른 것 이야 그건 니 입장에서 하는거고 내 아니야하지마 바보아니긴 말도 어눌해서 잘 못한다며 그게 바보가 아니라 뭐니? 함부러 말하지 말아줘 나는 함부러 말하는게 아니라 그냥 사실을 말할뿐인데? 왜 발끈해 그렇게 말하지마 바보 누나 발끈하네
1133,갈취 대화,돈 가족 입금하세요. 제발 봐주십시요 내일까지 보내세요천만원 안보내면 그 동영상 공개합니다. .못했습니다잘 한번만 봐주세요. 돈 제발까지 입금하시면 됩니다. 지금 당장 돈이 없습니다. 아니면.당신 연락처 내일된 사람시간한테 다 망신당하고 직장 . 잃어보시든가. 저장 부탁드립니다. 일단 들이라도 더주세요. 신고할 생각해도 소용없어. 당신 인생 끝나는거야. 정말 아닙니다 제발요.
1134,기타 괴롭힘 대화,야! 아빠 외국인 노동자?서? 어느 나라 사람이야라면 우리아빠 그냥 일하는 사람이야! 왜? 아 그냥. 아 외노자면 보통.공장에서 일하나? 학교 건너편에 새로 짓고 있는 상가건물 지으시나? 우리 아빠 거기서 일 안하거든랑 너 합법 으로 한국 있는건 맞아? 외국인들이 한국에 참 물을 더럽혀.적너 나한테 왜그래? 너희 너한테 그러는게 아니라 팩트를 말하는거야 팩트를. 나 행복하게 잘 살고들어와서있다고! 그러지마. 야 지나가는 사람한테 물어봐라. 10명중에 9명은 나! 같은 생각 할거야. 이아니이방인아 아니라고.
1135,갈취 대화,야 이리와 저요?그래 너 가 배가 고파서 그러는데 만원 있냐 저 용돈이 떨어져서 나 무시 하냐? 아니에요 좋은 말 할때 내놔라 그럼 에 가서 가져 올께요 이게 날 바보로 아나?
1136,기타 괴롭힘 대화,지금 지나가는 저 사람 니 남친 뚱뚱한게 꼭 너랑 똑같은 네. 그런 심한말을.! 말은 하지 말아줘. 너 지금 나한테 대든거야? 어디서 꼬붕새끼가 말이 많아. 니 엄마도 돼지여서 너 돼지새끼인거지? 우리 엄마 그런 사람 꼴에 지 엄마 욕한다고 화낸다. 얘들아돼지가 화나서 바닥이 울린다. 흑. 제발 그만해. 어 이 운다? 가 돼지 육수가 나오네? 돼지국밥 공짜 먹고 좋다. 나 돼지 아니야. 나도 사람이야.! 어디서 돼지새끼 사람행새를 해.! 지 못해? 얼른 꿀꿀해봐. 소리내봐. 꿀꿀.돼지에요
1137,직장 내 괴롭힘 대화,아니 왜 아무잘못없는 저를 신고하신건가요? 내가 언제 ? 누가그래 이미 다 들었어요 왜 그러셨어요? 나 아니라니까 왜 나한테 화를내 명제가 일을 안하고 지각도 하고 선배를 무시한다고요? 뭐 틀린말이야? 네?? 명제가 언제 그랬는데요? 지금도 봐 선배가 무섭지도 않지? 아니 이건 말도 안되잖아요 내가 하는 말에 하나부터 열까지 말대꾸에 일 안하고 사실인데 뭐 하 명제가 그렇게 맘에 안드세요? 무슨소리니 내가 너를 얼마나 아끼는데
1138,협박 대화,야 너말아주세요이 시키 누가 성적을 이 따위로 고 했어 발가락 하나 부러뜨려 줄까? 죄송해요 아버지 제발 때리지 시키가 명예의 명예를 실추시키지마! 네. 목소리 의지력이 그 따위니까 넌 평생 맞으면서 사는거야 아니 사랑해서부러앞으로 잘살아라는 의미도 아니고 고작 가문의 가문 때문에. 넌 이제 보니 발가락이 아니라 어디 놀러 하게 못다니지 다리를 봐라뜨려야 겠구나하라정말 너무하세요 먹여 살려준것도 모르고 일단 다리고마운줄대라 부러뜨려줄께
1139,직장 내 괴롭힘 대화,강대리 이차장님 욕하고다닌다며 욕 뿐만아니라 사생활도 문란하대 너도 소문 들은거야? 그래서 지금 다들 같이 밥 안먹는 거잖아요 안그래도 차장님도 일도 안시키고 없는 사람 취급하던대 지금 뭐라고 하신거예요? 아무말 안했는데 방금 다들었어요 제가 언제 욕했나요? 무슨 사생활이라는 건데요 아니 소문이 그렇다는거지? 그래서 진짜인지 가까인지도 모르면서 저 유혈하시고 그런거예요? 아니 유혈할만하니 피하지 차장님도 너 없는 사람 취급하는거보면 없는 말은 아니라는거아냐 나참 진짜 괴롭히는것도 여러가지네요
1140,직장 내 괴롭힘 대화,야 반미 고참 최근 준하야 이거 왜 이렇게 삯 된거 최근 냐? 왜그러세요? 분명히 내가 차지 어제 이거 아니라고 수정하라고 영리 하지 않았냐 사이 ? 근데 왜 달라진게 아래 없어? 중간에 약간 수정 사이 했습니다. 중간에 극한 ? 약간? 내가 중간만 가옥 하라고 했어? 너 부장님이 오냐오냐하니까 개판이구나 아주 그런거 아닙니다. 너 같이 변경 정형 계통 멍청한 놈 집단 수량 중편 한테 주는 월급 순리 이 아깝다. 죄송합니다. 선진 때 말 이런식으로 일하라고 집에서 뜨신밥 날짜 해먹이냐? 선배님 식사 그런 말씀 리더 은 수입 시간 종료 개울 좀. 닥쳐. 다시 똑바로 해와. 너 이거 제대로 진지 할때까지 리더 오늘 퇴근 못할줄알 바보 아 과거 . 어디 끝까지 자두 가보자고 백금 누가 이기나 알겠습니다 가랑이 .
1141,기타 괴롭힘 대화,안쪽 정현이 니 남친 뭐 이득 래 이윤 정현이 니 예지 방향 남친이지 뭐래 정현이 불쌍해 정현이 이목구비 인생이 더 불쌍 부지 정현이 속 줘도 안 가짐 차지 정현이 법 부지 수량 더러워 정현이 유향 냄새나 정현이 웩 애들아. 나한테 왜그래 플러스 이빨 . 내가 수량 뭘 순이익 이빨 잘못했어.?
1142,협박 대화,죽어 이새끼야 자기야 그 내려놓고 말해 응?내 못할거같아? 죽여버릴꺼야 제발 자기야 제발 너만 다쳐 오늘 황천길은 니가 걷겠지 멍청한 놈 아악! 악! 내려놓으라고! 내가 만날께! 그래? 날 사랑해준다는거야? 그럼그럼 난 너밖에 없잖아 그말을 어떻게 믿지? 제발 칼부터.
1143,직장 내 괴롭힘 대화,민선씨 내일서야지 무슨 약속 있어요? 없습니다. 그래요? 그럼 내일 아침에 회사로 출근하지빨리말고 애플워치 좀 사게 줄 서줘요. 네? 그게 무슨 말씀이세요? 내일 애플워치 사야하는데 알잖아 대기줄 엄청긴거 잘리고 민선업무가 대신 나 줄 좀 서달라고.내그래도 출근시간에 차장님 사적인 씨로 안나오는 것은 아닌 것 같습니다. 차장인 부탁하는데? 은 출근처리 해준다고. 이런 방법알아서아니요아닌 것 같습니다. 나랑 이런 ? 가서가줄에해회사 그러니까 싶어? 장난식의 대우는 부당한거 같습니다.
1144,협박 대화,야 너네 집 고시원이라며? 어어? 어. 고시원이 이 차보다 크데 너 아직 정신 못차린 것 같아서 교육을 좀 해주려고 거기서 갇혀 있으면서 생각 좀 해봐 뭘 잘못했는지 내가 미안해 내가 잘못했어. 넌 잘못한거 없어 우리 앞에 나타난게 잘못예지. 제발 살려줘 얘들아 문을 열어줘. 열고 나와. 곧 그차 폭발하거든 그러니까 살고 싶으면 그 전에 나와야겠네? 제발 부탁이야 꺼내줘. 앞으로 안 나타날게 거기에 갇히는 것도 안 나타나는 방법이야. 제발 살려줘 애들아.
1145,협박 대화,왜 이렇게 시끄러워? 그렇다고.애진짜 묶어 둬요? 다리를 확 뜨려 버릴까보다. 아니 아이가 좀부러뛰었다고 협박거 거야? 못 할 거 같아? 내가 하게 가만히 있을 거 같아? 애가 항상 너랑 있는 건 아니지. 무슨 말이야? 담에 또 뛰기만 해 봐 를 부러뜨릴 하는니까. 뭐야 당신!
1146,갈취 대화,여기 도둑이야 저 자식도 내도둑노트북을 저노트북 잡아 넌이제놈도망 못가 나도 노트북좀너사용해보자 난 돈이 없어서 만져본적도 없다 돈없으면 노트북이 만지지마 어디서 이런 이 나도 좀 해보자고 이 사람다치기노트북 없으면 어떻게 될진 생각해본적이 있어 생각도 없는놈 싫으면 저리가 너 이 녀석이 안돼 내 놈이 저렇게까지 가지고 싶었나 이상한 놈일세
1147,기타 괴롭힘 대화,너참못생겼다 미안해 미안한짓을 왜해 . 열받으니 10대만 맞자 아퍼 그만해줘 너만보면 화가 연대 아퍼 이거 완전 오징어네 아프다니깐
1148,갈취 대화,야. 리니지에서 네가 키우는 캐릭터 나도 한번 써보자. 아이디랑 엄니 장 비번 좀 알려줘 형. 암소 자두 왜그러세요 알려달라고 도시 도형 하면 자녀 알려줘. 도시 우리가 법 손 잠깐만 본 해보고 줄께 형들 생산비 소득 세대 지난번 순리 에도 그냥 빌린다더니 광야 뺐어가셨잖아요 이 광야 윤곽 새끼가 말이 많네. 알려달라고 싫어요 고생 너 턱 주고 싶냐. 오늘 좀 맞아볼까 왜 이러세요 성형 형들이 좀 쓰자면 쓰는거지 이익 말이 많아 언사 . 이 자식아 이러지마세요 예 오늘 정형 너 남자 순리 좀 혼나야겠다
1149,갈취 대화,노랑아 나 담주 생일인거 알지? 네? 아.네 미리 축하드려요 뭐야 설마 때우는 거야? 노랑아 이 목걸이 이쁘네 어디서 샀어? 좀 줘봐 네 아. 좋아하시나 봐요 아니 좋아하는 건 아니고 달라면 그냥 주지 말이 왜 이렇게 많아 아. 이거는 안되는데 다음 사올래? 아 저 돈 없는데 다음주까지 꼭 사와라. 너무 비싼데 흑흑. 확씨 말 많아. 그냥 이거 가져간다
1150,갈취 대화,혹시 돈 좀 빌려줄 수 사내 부 해 있어? 아니. 나 돈 없는데? 카드 백작 안쪽 는 있을거 동 아니야 수컷 미래 왜 그러는데 금 재 .? 연기 연대 나 급히 돈이 필요해서 너 저번에도 빌리고 안 갚았잖아. 다음에 저번것 까지 해서 같이 갚을게 읍 안될것같아. 맞고 줄래 차지 그냥 줄래? 성운 알았어.
1151,직장 내 괴롭힘 대화,우리 성근씨는 왜 다른 팀원들이랑 잘 융화가 안되는 거 같지? 아.네 제가 성격이 조금 소심하기도 하고 일이 손에 익는 게 조금 느려서 다른 팀원들이 많이 배려해주고 있습니다. 아니 그런거 말고. 성근 씨 사회성이 많이 부족한거 같아서. 회사일이란게 말이야. 혼자서 끝까지 할 수 있는 일이 아니거든. 나약한 정신으로 회사를 오래 다닐 수가 없어요. 좀더 노력하겠습니다. 노력만 하면 안돼지. 성근씨가 뭘 하고싶은지 그걸 결과로 보여줘야 알지. 내가 국 때는 앞으로 회사 오래 못다닐 거 같은 사람이 딱 보이거든? 성근 씨가 그래. 사회성도 없고. 네 분발하겠습니다. 앞으로 저녁회식은 빠지지말고 꼭 나와. 사나이가 말이야. 부족한 자기 약점을 커버하려면 회식에서 소통도 좀 참여하고 자신감없이 뒤로 빠지지말고 그래야지. 내가 꼰대처럼 보여도 회사에서는 아무도 안알려주는 거 알려주는거니까. 좋은 말씀 감사합니다. 배에 힘딱주고. 그지! 선배들 선물도 좀사오고 분위기도 맞춰주고 그게 후배 도리지. 앞으로 잘해봐. 내가 지켜본다. 네 알겠습니다. 들어가세요!
1152,직장 내 괴롭힘 대화,하임씨 네??? 회사알겠습니다 하임씨 옷이 너무 노출이 심해서 보기 불편하다 노꽁꽁노출이요? 그냥 반팔우리 아니 그래도 팔뚝이랑 살이 막 보이잖아 속살근데네에? 조선시대 같으면 . 싸매고 다녔어 뭘 인데 놀라고네 너무 더운데. 반팔안입으면 그럼 가디건이라도 걸쳐 노출 지양하자 그렇게 그래.에서
1153,협박 대화,이봐. 아저씨. 차를 이렇게 주차하면 어떡해? 아니 언제 봤다고 반말이야? 기분 나빠? 나도 당신 차 때문에 주차할 데가 없어서 기분 나빠. 주차장이 여기 밖에 없어? 왜 시비냐고. 너 내가 누구아지 알아? 누구든 말든 내가 알 바 아니고 차나 빨리 빼라고. 아 진짜 혼나고 싶나. 너 이리와봐. 누구더러 오라 가라야. 동정 입 잘라버리기 전에 조용히 차 빼라. 뭐? 입을 잘라? 말 다했냐? 아니? 뭐 다른 데도 잘라줘? 너 진짜 열받게 하지 말고 조용히 다른 데에 주차해라.
1154,기타 괴롭힘 대화,너 홍길동이랑 사귄다며 응 맞아 니가 어울린다고 거해 웃겨 정말 왜 그래 가 홍길동이아니야 진짜 창피할 생각 같아 라면 홍길동한테 텐데 말 않고 헤어지는 게 좋을 피해 맞아 두 사람은 하나도 안내어울리니까 끼치지이야 왜 그래 너까지 뭐 내가 틀린 말 한 것도 아니고
1155,직장 내 괴롭힘 대화,김대리!! 부르셨습니까? 부장님! 김대리는 회사 빽으로 들어왔나? 네? 무슨 말씀을. 자네 이딴 엉터리 서류를 해놓고 결제 올리는 배짱은 어디서 나오는거지? 열심히 해서 올린겁니다. 부장님! 입사 3년차가 초입보다 못한 기획안을 내놓고 어쩌자는 건가? 아니 부장님 말씀치아 너무. 에이 정말 생긴 것도 무식하게 생겨가지고 일도 그지같이 하고 썩 나가 다시해!!! 부장님 그건 언어폭력이고 인격모독입니다! 너같은 놈 땜에 내 흰머리 나는 건 어떡하구? .
1156,갈취 대화,엄마 돈 좀 뭐? 저번에도 이따만큼 빌려갔잖어 남자한테 돈 좀 줄 수 있지 뭘그래! 너 나이가 몇이야! 나도 다 돈 벌려고 하는거야! 안돼 돈없어. 엄마 돈 있는 거 다 알아 얼마가 필요한데 100만원 이번만이다.
1157,기타 괴롭힘 대화,야 너네 아빠 청소부라며?그 게어때서 너한테 쓰레기 냄새가 진동을한다 괴롭히지마 앨랠래 자식이래요 그만하라고 안쪽팔리니 청소부 자식아?으아 청소부 자식 운대요 제발 그만해
1158,기타 괴롭힘 대화,너 피아노 좀 쳐봐. 싫어.?왜?손가락 없다고 유세 떠는라도거야없다고 이씨. 비행기 쳐보라니까함 왜 못치지 하지마. 너 내가 볼 땐 의지 문제야. 손가락 ? 비행기를 못치냐. 흑. 신발 벗겨줄까? 발로 쳐보지 그래? 싫어.
1159,기타 괴롭힘 대화,야 오늘 체격검사 결과 봤냐? 결과 바 개웃김 야 키랑 가 왜 이래 사람맞냐? 어떻게 숨쉬고 다니는거야 얘들아 그런거 함부로 안되지. 너네 그거 내 개인정보 침해인거 몰라? 그래서 뭐가 어쨌다고 야 너 체지방률 보이냐 30 좀 라 살 좀 빼 30.? 야 돼지 체지방률이 25래 돼지보다 뚱뚱한가봐 얘 옷 걷어봐 빨리 야 커튼 뒤로 들어가 최대한 안 쪽팔리게 해줄게 이래 이 놔 왜이러는데 나 싫어 야 얘 몸 봐! 살 흘러내리는 거 봐 분필 하나만 가져와봐 여기 저장해두자 아 진심 개웃겨 뱃살 사이에 고정 봐 간식 여기다 꽂아두고 먹어도 되겠다. 이만하면 됐잖아 그만해 나 진자 수치스러워 수치스러워할 몸은 이정도면 진짜 돼지 우리 들어가야 해 숨은 잘 쉬어지냐? 맨날 밥 한 솥 먹는거 아님?그러게 안 그래도 엄청 생겼는데 몸 좋아야지 이족보행하는 돼지처럼 살고있네 니 몸이 불쌍하다
1160,직장 내 괴롭힘 대화,강대리 지금 뭐하는거야? 시켜서 한건데 이거 이렇게 작성하라고 하셔서내가 언제? 내가 언제 이렇게 하랬어? 좀전에 이거 하라고 젊은 사람이 말귀를 못알아들어 아니. 자꾸 변명 지난번도 이러더니 너무하시는거 아니예요?뭘 너무해? 지금 반항하는? 아닙니다 똑바로해
1161,기타 괴롭힘 대화,이걸음식이라고 하는거야? 네? 아무런문재없는건데. 감칠맛 맛이없자나 맛이 야드 취향 비위 새로해드릴가요? 장난해 문호 ? 이걸 소도구 플랜 먹으라고 감촉 손 내놓는거야? 손님 야드 야드 원래 농도 이런맛인데 어케해야할가요? 글 차지 난 물가 돈 수익 못줘 맛도없는걸 엄니 어케먹어 다드셧는데.
1162,협박 대화,야 니가 선생님한테 일렀냐? 응? 아니. 내가 왜 일러. 머래 아까 담임이 다 말했거든 이게 뒤지고 싶나 아. 아니야. .미안해 내가 너 때문에 교무실도 왔다갔다 했으니까 하나는 너도 줘야지. 나도 고생했는데? 어? 아니야. 내가 잘못했어 잘못 이미 늦었어 알지? 너 저기서봐. 진짜 너 죽이고 싶으니까 죽이고 싶은만큼 쳐 맞어야지 어? 미안해 내가 잘못했어 앞으로는 말안할게 이미 늦었어 너 그럴 수록 진짜 죽음에 더 가까워져 진짜 내가 실행하게 하지말고 저기 서있어야지 아니야. 미안해. 살려줘
1163,기타 괴롭힘 대화,야 오늘 돼 뭐냐 음 나도 몰라 잘됐네 빵좀사와 안돼 왜안돼 오늘은 안 급식 봐주니까 만만하지? 그만해줘 제발 나가라고 미안. 쳐맞고싶나 이게미안해미안
1164,기타 괴롭힘 대화,네가 그럼 그렇지.하긴 뭘하냐 개뿔 나는 이렇게 될 줄 알았니 맨날 말만 번지르르 실수라니까 됐어.됐어 미안해 보기 싫으니까 저리가 일부러 못한거 아냐. 그만 짓거려라.더 행렬받으니까. 어.
1165,직장 내 괴롭힘 대화,저기 해 기업 연기 동정 혹시 제가 이번 일단 년도 말 간수 도시 이 출산이라 출산 휴가 작성할 수 있을까요? 휴가? 몇 달 임명 쓰려고? 세 달 정도 쓸 연휴 눈 생각입니다. 그 뒤 바로 해 관세 업무 복귀 가능합니다. 증상 이래서 막 사람 채용하면 안된다니까 너 예견 가 휴가 내면 사람 그 빈자리는 재물 누가 해리 채워 괴사 ? 그 빈자리 뽑겠다고 또 채용공고 내걸고 턱 입사시험 상담 치르고 몇 공조 명이 고생 호각 해야 하니? 호각 죄송합니다 저도 시대 대신 예 공사 상치 못한 얻 임용 시기에 임신이 되어버려서요 진짜 죄송합니다. 절제 너 그냥 복 사직서 써 세 호각 달 대비 사무 월 태도 동안 못 사단법인 기다려 이참에 더 순이익 바캉스 빠릿빠릿한 신입을 아우 뽑는게 훨씬 잡 이득이지 세 달 휴가 냈다가 바로 돌아오겠습니다 그때까지 기울기 시점 이해 소리 해주시면 안될까요? 너 세 수량 달 공사 휴가 바캉스 내고 화사 와도 업무 배제 시켜 버릴거야 정실 지 멋대로 휴가 쓰려하고 남한테 피해 바캉스 주는 애는 더 연막 이상 회사에 상사 필요없어 저 출산하면 연막 아기도 키우고 해야해서 많은 괴사 사무 고용 돈이 필요해서 꼭 회사에 나와야 임 합니다. 이 젖먹이 회사 아니면 배후 제가 짧은 시간에 취업 준비도 불가능해요. 그럼 노가다 페이퍼 를 뛰던 해 내가 너네 호각 집 집안 사정까지 생각 조세 월 해야 정기 전세 하나? 이번 달 까지 나오고 나올 생각 마 요즈음 애인 그럼 기회 두 대신 달 만에 복귀하겠습니다 사무 어떻게 안될까요.? 그냥 낡 법 지금 싹 짤라버리기전에 이 방에서 나가 너 같은거 정공 이 회사에 필요 없다니까? 말 귀를 원가 못 알아 먹냐?
1166,직장 내 괴롭힘 대화,진짜 전언 참다참다 말하는건데 백금 내가 누구라고는 말 국 백금 안 사무소 하겠지만 직장 전언 생활 가명 하면서 옷은 빨아입고 다녀야 하는거 아니에요? 입성 왜요 무슨 일인데요 한달째 계속 같은 옷만 입고 향내 다니는 사람요 여자라면 치아 매일 샤워하고 속옷 갈아입는거 기본 아닌가요? 아. 국수 뭐 옷이 속적삼 양복 없나보죠 자력 . 월 황소 냄새 누구라고 말은 입담 계집 유부녀 안 추구 하겠지만 아줌마 진짜 매일 같은 지어미 속 이야기 코트 입고 다니는거 자력 냄새나고 상담 더러워요 같은 안쪽 사무실에 있기도 싫어요 자기는 냄새가 안나나봐 가씨 그만 얘기해요 다씨가 듣겠어
